text,label,token_ids
feel mom graceful warm loving smile rob time nurture heal,1,"[57676, 3450, 78462, 8369, 21955, 15648, 10773, 892, 79530, 27661]"
feel talk brother law extremely popular one think stiff,1,"[57676, 3137, 10868, 2383, 9193, 5526, 832, 1781, 31161]"
ate could feel gentle tingle throughout almost feeling healing taking place cellular level,2,"[349, 1436, 2733, 22443, 259, 2222, 6957, 4661, 8430, 21730, 4737, 2035, 35693, 2237]"
feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,4,"[57676, 1093, 75451, 3995, 6366, 15792, 11911, 9327, 3828, 73484, 660, 31056, 46460]"
began several time week feeling tortured hallucination moving people figure sound vibration,4,"[65, 16133, 3892, 892, 2046, 8430, 57034, 59123, 2617, 7366, 1274, 7216, 5222, 48913]"
nearly finished week detox feel amazing,5,"[77, 22928, 8220, 2046, 61987, 2733, 8056]"
feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,3,"[57676, 45743, 1373, 1203, 4846, 1772, 2646, 4691, 23788, 3885, 2646, 6646, 1253, 3885, 23528, 23788, 19089]"
know pain parent feel enraged child becomes violent,3,"[33134, 6784, 2748, 2733, 98295, 1716, 9221, 16806]"
roller coaster emotion supposed feeling something unpleasant coming,0,"[1496, 82168, 20356, 10171, 8430, 2555, 47989, 5108]"
suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,2,"[13066, 2972, 8206, 1205, 6222, 31081, 306, 8430, 37513, 31445, 99677, 14156, 15556, 10712, 27924, 10082]"
feeling brave bought clearly makeup,1,"[1897, 20659, 34300, 11021, 9539, 27649]"
feeling miserable c also proudest mum earth,0,"[1897, 20659, 50739, 272, 1101, 550, 283, 5086, 39959, 9578]"
figure family love u matter around anyone else feel embarrassed michelle go ballistic,0,"[18257, 3070, 3021, 577, 5030, 2212, 5606, 775, 2733, 49230, 24154, 6853, 733, 60633]"
necessarily think f bomb sex necessary story feel reassured see print journal,1,"[77, 74753, 1781, 282, 13054, 1877, 5995, 3446, 2733, 32834, 3149, 1518, 1194, 8486]"
feel ovary aching talking like put,0,"[57676, 25568, 661, 264, 28075, 7556, 1093, 2231]"
feel like much chris mostly took many picture unimportant stuff,0,"[57676, 1093, 1790, 523, 6091, 10213, 3952, 1690, 6945, 653, 15693, 6392]"
im tired book ready finding given unsuitable image feeling blamed result sit well,0,"[318, 19781, 2363, 5644, 9455, 2728, 7120, 86581, 2217, 8430, 36197, 1121, 2503, 1664]"
successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,1,"[61605, 10299, 14841, 14961, 76, 10247, 2733, 26501, 48776, 10648, 3300, 892, 1005, 10247, 3938, 10015]"
think feeling one nay important thing,1,"[27963, 8430, 832, 308, 352, 3062, 3245]"
feel completely honored influence young talented fully alive beautiful girl woman,1,"[57676, 6724, 39377, 10383, 3995, 23944, 7373, 13989, 6366, 3828, 5333]"
feel angered firey,3,"[57676, 87594, 4027, 88]"
feel like miserable piece garbage,0,"[57676, 1093, 50739, 6710, 26964]"
feel like need make list leanne would appalled thought dont miss anything,3,"[57676, 1093, 1205, 1304, 1160, 16025, 818, 1053, 917, 4841, 3463, 15890, 3194, 4205]"
drove dannika school feeling little bit rushed greeted turned corner,3,"[11513, 588, 25974, 11755, 2978, 8430, 2697, 2766, 33341, 44865, 6656, 9309]"
remember feeling hellip furious shooter,3,"[30380, 8430, 15123, 575, 53170, 32671]"
feel happy excited since learned many thing,1,"[57676, 6380, 12304, 2533, 9687, 1690, 3245]"
feel show around show horse people trusting relaxed show horse safe quiet handled frequently,1,"[57676, 1501, 2212, 1501, 15580, 1274, 69344, 31467, 1501, 15580, 6220, 11594, 18073, 14134]"
couple thing left make start december done feeling smug,1,"[23045, 698, 3245, 2163, 1304, 1212, 90111, 2884, 8430, 1554, 773]"
think u could make feel realize everything ok,1,"[27963, 577, 1436, 1304, 2733, 13383, 4395, 5509]"
feel worthless time struggling finding work,0,"[57676, 66121, 892, 20558, 9455, 990]"
able lay bed dark feel terrified least,4,"[481, 11203, 4950, 6453, 2733, 53731, 3325]"
ready meet mom airport feel ever supportive arm around,2,"[2359, 3449, 3450, 17149, 2733, 3596, 33445, 6916, 2212]"
im feeling bitter today mood strange entire day guess,3,"[318, 8430, 26242, 3432, 20247, 15234, 4553, 1938, 8101]"
mum brother passed away involved car accident bringing present passed form five exam flying colour,0,"[76, 372, 10868, 5946, 3201, 6532, 1841, 11677, 12967, 3118, 5946, 1376, 4330, 7151, 16706, 12745]"
letting go animosity towards anyone feel wronged,3,"[1169, 1303, 733, 4039, 22828, 7119, 5606, 2733, 5076, 291]"
talk dog feel cannot understand word read emotion know supportive decided go home,2,"[36341, 5679, 2733, 4250, 3619, 3492, 1373, 20356, 1440, 33445, 6773, 733, 2162]"
feel like throwing away shitty piece shit paper,0,"[57676, 1093, 21939, 3201, 78558, 6710, 17619, 5684]"
im starting feel wryly amused banal comedy error life turning,1,"[318, 6041, 2733, 289, 894, 398, 86324, 9120, 278, 23160, 1493, 2324, 13353]"
find every body beautiful want people feel vital body,1,"[3990, 1475, 2547, 6366, 1390, 1274, 2733, 16595, 2547]"
hear owner feel victimized association association attorney property manager,0,"[87160, 6506, 2733, 11996, 1534, 15360, 15360, 14065, 3424, 6783]"
say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,3,"[37890, 47555, 2138, 814, 265, 12703, 16106, 2733, 1093, 4851, 1752, 40530, 35309, 737, 5128, 12304, 16706, 1176, 892, 1440, 1101, 8493, 1060, 2500, 3224]"
wont let child cry feel loving lily little going opportunity lasted short month,2,"[86, 546, 1095, 1716, 16106, 2733, 21955, 326, 1570, 2697, 2133, 6776, 36513, 2875, 2305]"
alba feel good im fitting,1,"[278, 4749, 2733, 1695, 737, 27442]"
feel excited im feel like ton catching,1,"[57676, 12304, 737, 2733, 1093, 8941, 34168]"
also know good feel look back see honored word help start,1,"[19171, 1440, 1695, 2733, 1427, 1203, 1518, 39377, 3492, 1520, 1212]"
mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,0,"[14622, 2216, 2216, 2653, 990, 6994, 1579, 11156, 10151, 289, 1136, 84, 2733, 34490, 51975, 17354, 27762, 5602, 10585, 289, 1136, 84, 5178, 4459, 4851, 53423, 8994, 19781, 2136]"
feel like thing getting little overwhelming spritz toner really help calm soothe,1,"[57676, 1093, 3245, 3794, 2697, 22798, 8314, 11289, 8941, 261, 2216, 1520, 19858, 44276, 1820]"
hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,1,"[61893, 13383, 2697, 5149, 2631, 1304, 1732, 2733, 2731, 6671, 3508, 3070, 4562, 7926, 1579, 2978, 4333, 9760, 8761, 1524, 4686, 35058]"
feeling festive today even going put tree soon finished catching week going ons coronation street,1,"[1897, 20659, 59937, 3432, 1524, 2133, 2231, 5021, 5246, 8220, 34168, 2046, 2133, 49549, 22760, 367, 8761]"
finding ill seriously,1,"[68287, 5986, 14243]"
alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,0,"[278, 1315, 538, 10824, 8430, 46025, 893, 18073, 8631, 3389, 28201, 2046, 19543, 4661, 16106, 8220, 90834]"
feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,1,"[57676, 19029, 12178, 48776, 5353, 2744, 9396, 6037, 17437, 4205, 2930, 1053, 406, 10235, 2019, 18570, 3663]"
feeling useful,1,"[1897, 20659, 5505]"
feel like pain cannot imagine becoming passionate group idea causing pain,2,"[57676, 1093, 6784, 4250, 13085, 10671, 25429, 1912, 4623, 14718, 6784]"
feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,0,"[57676, 28360, 43131, 10051, 436, 23758, 97721, 28566, 49472, 6366, 8679, 3582, 2643, 2103, 10051, 6857, 35428, 2212, 3838, 7916, 659, 85597, 3596, 10284, 8659, 20753, 3780, 502, 6857]"
im feeling homesick yet im feeling alright,0,"[318, 8430, 10632, 875, 3686, 737, 8430, 51217]"
dance feel pretty,1,"[99975, 2733, 5128]"
workout every morning feel fabulous,1,"[1816, 412, 1475, 6693, 2733, 35631]"
feel eye touch word eye know assuredly return love know shall vain,0,"[57676, 8071, 5916, 3492, 8071, 1440, 28478, 398, 471, 3021, 1440, 4985, 46604]"
feeling fabulous friday morning started get awful cramp work,1,"[1897, 20659, 35631, 80413, 6693, 3940, 636, 25629, 1589, 1141, 990]"
feel honoured able call friend share brotherhood,1,"[57676, 90833, 3025, 1650, 4333, 4430, 10868, 5812]"
begun feel apprehensive thick black rain cloud stormed sky town,4,"[52253, 359, 2733, 47291, 4114, 12314, 3776, 11422, 9624, 86087, 13180, 6424]"
stated reason feel fearful feel unsafe,4,"[267, 660, 2944, 2733, 63757, 2733, 20451]"
feel like getting shaken tsa quite yet pulled side creative croissant lunch,4,"[57676, 1093, 3794, 66900, 259, 9258, 5115, 3686, 13541, 3185, 11782, 14425, 66262, 16163]"
get group feel really awkward overcompensate talkative getting really quiet,0,"[456, 1912, 2733, 2216, 29859, 927, 5807, 729, 349, 3137, 1413, 3794, 2216, 11594]"
excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,2,"[40541, 1639, 5616, 3449, 22489, 22489, 892, 5423, 40666, 40666, 22489, 2646, 14429, 22489, 2231, 6916, 2212, 1304, 2733, 10456]"
feel pretty safe blog img src http,1,"[57676, 5128, 6220, 5117, 5071, 2338, 1795]"
feel pretty eager get done fun plan quilting,1,"[57676, 5128, 24450, 636, 2884, 2523, 3197, 75964, 1303]"
feeling horny ask let go home,2,"[1897, 20659, 38307, 2610, 1095, 733, 2162]"
think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,4,"[27963, 33894, 2231, 7410, 2733, 29213, 5647, 8430, 2733, 8830, 3619, 21955, 3025, 3021]"
feel stranger strange land raising son place father ancestral home,5,"[57676, 35058, 15234, 4363, 19054, 4538, 2035, 7126, 78771, 2162]"
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,1,"[2414, 17639, 34685, 2733, 24415, 14964, 2547, 16913, 7351, 69704, 78462]"
feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,1,"[57676, 45955, 293, 82401, 6380, 733, 19343, 1629, 2212, 4994, 10585, 1935, 550, 309, 1317, 4321, 3629, 2380, 832, 1938]"
still feeling strong,1,"[44466, 8430, 3831]"
burst tear devastating release feeling thought seemed know rich also go space without dumping,1,"[58838, 18036, 33318, 4984, 8430, 3463, 9508, 1440, 9257, 1101, 733, 3634, 2085, 61682]"
wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,3,"[87692, 636, 50625, 42786, 6987, 668, 6693, 4106, 1566, 3245, 4934, 4106, 11033, 7344, 8430, 2697, 26242]"
suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,4,"[13066, 2972, 2733, 25587, 2766, 44929, 6784, 1566, 2305, 559, 288, 17508, 331, 2159, 4298, 39030, 367, 14464, 3347, 3582, 2646, 30447, 29440]"
clench corner bed feel assured,1,"[566, 20345, 9309, 4950, 2733, 28478]"
also feel like selfish grateful life amazing thing,3,"[19171, 2733, 1093, 45743, 26259, 2324, 8056, 3245]"
called god seen god book figured god right name feeling utterly affirmed accepted without question,2,"[44982, 10087, 3970, 10087, 2363, 25720, 10087, 1314, 836, 8430, 38631, 74549, 11928, 2085, 3488]"
know perhaps girl office nice short hair perhaps feeling rebellious,3,"[33134, 8530, 3828, 5274, 6555, 2875, 7013, 8530, 8430, 42301, 1245]"
feel miserable family type celebrates eid,0,"[57676, 50739, 3070, 955, 49193, 69431]"
might go get car wash feeling really generous car need,1,"[46068, 733, 636, 1841, 11623, 8430, 2216, 28771, 1841, 1205]"
still feel sleep deprived almost sleeping night giving u,0,"[44466, 2733, 6212, 62683, 4661, 21811, 3814, 7231, 577]"
feel really violent right,3,"[57676, 2216, 16806, 1314]"
bloging sitting feeling content dog amp cat etc know lucky truth,1,"[11921, 287, 11961, 8430, 2262, 5679, 23598, 8415, 5099, 1440, 18069, 8206]"
started feeling funny friday woke sick dog,5,"[47823, 8430, 15526, 80413, 39826, 14363, 5679]"
feel need protect parent witch hunt repressed memory therapy,0,"[57676, 1205, 6144, 2748, 37482, 19614, 312, 14655, 5044, 15419]"
feel disgusted even associated woman race nationality,3,"[57676, 91174, 1524, 5938, 5333, 7102, 59343]"
laughed bitterly wasnt feeling bitter,3,"[4355, 7595, 291, 99945, 574, 406, 8430, 26242]"
know feeling thought wished could u u knew however much hated first experience would remember forever,0,"[33134, 8430, 3463, 37287, 1436, 577, 577, 7020, 4869, 1790, 38674, 1176, 3217, 1053, 6227, 16058]"
feeling quite mellow wanted soft easy look wear beginning cold,1,"[1897, 20659, 5115, 296, 5412, 4934, 8579, 4228, 1427, 10051, 7314, 9439]"
told maybe need time think ive feeling indecisive thing lately,4,"[83, 820, 7344, 1205, 892, 1781, 99677, 8430, 5278, 79155, 535, 3245, 31445]"
still feel genre disservice story resolved artifically,1,"[44466, 2733, 17779, 834, 8095, 3446, 20250, 1989, 1104, 750]"
always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,1,"[33222, 1440, 8430, 32692, 3350, 836, 32692, 20247, 893, 11289, 4128, 12960, 13046, 11493, 13046, 32692, 8430, 1584, 1093, 30200, 1906, 78132, 737, 64536]"
remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,4,"[30380, 8430, 2216, 53731, 97746, 5951, 2133, 32366, 16700, 24898, 3185, 16700, 6278, 2466, 13766, 20910, 2133, 4498]"
could feel whimper thought unloved uncared,0,"[29177, 2733, 74571, 716, 3463, 653, 385, 2111, 21482, 1636]"
im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,5,"[318, 7995, 2133, 2503, 3371, 41209, 2133, 4443, 2324, 2733, 3596, 22999, 41209, 2133, 2324, 499, 67, 3821, 1501]"
im sorry wasnt humor post im feeling funny,5,"[318, 14931, 574, 406, 28485, 1772, 737, 8430, 15526]"
feel ive got foot door fantastic world walking running trail fell mountain,1,"[57676, 99677, 2751, 4579, 6134, 14964, 1917, 11689, 4401, 9025, 11299, 16700]"
say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,3,"[37890, 8996, 2586, 4059, 3371, 6089, 2733, 41690, 3828, 62945, 3021, 1732, 7095, 28390, 4333, 10437, 832, 3021]"
feel strange coming back work one day holiday,4,"[57676, 15234, 5108, 1203, 990, 832, 1938, 13560]"
im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,3,"[318, 9539, 28160, 24858, 23871, 991, 1570, 27075, 29973, 3187, 1005, 24858, 4619, 15235, 18768, 15235, 18885, 8430, 33341, 665, 73, 3042, 479, 4538, 4816]"
fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,0,"[69, 1683, 3245, 2324, 7293, 2585, 3508, 636, 8343, 50933, 14432, 16385, 636, 2162, 12266, 1938, 1176, 1917, 3411, 3686, 4948, 1917, 8430, 15123, 83563, 51533, 2697, 3828]"
could claim redeem genre leave feeling entirely frustrated point beating head wall either,3,"[29177, 3802, 49878, 17779, 5387, 8430, 11622, 33630, 1486, 27242, 2010, 7147, 3060]"
feel sad hopeless,0,"[57676, 12703, 75323]"
im getting feeling class little intimidated concept lit,4,"[318, 3794, 8430, 538, 2697, 85161, 7434, 13318]"
still feel groggy get routine son,0,"[44466, 2733, 10707, 70, 4680, 636, 14348, 4538]"
feeling view isnt going popular thats fine,1,"[1897, 20659, 1684, 70058, 2133, 5526, 41136, 7060]"
want hold feeling shocked awe wonder forever,5,"[53757, 3412, 8430, 27718, 51517, 5895, 16058]"
heard rumour st year exam result fear might one failure,4,"[55603, 14322, 414, 357, 1060, 7151, 1121, 8850, 2643, 832, 8060]"
want feel valued appreciated know people love arent going anywhere even nature relationship change,1,"[53757, 2733, 33647, 26893, 1440, 1274, 3021, 527, 406, 2133, 12660, 1524, 7138, 5133, 2349]"
know day feel distracted,3,"[33134, 1938, 2733, 49804]"
use regularly relaxing music always feel invigorated afterward,1,"[817, 15870, 34948, 4731, 2744, 2733, 1558, 71070, 660, 49043]"
im feeling distracted tend practice eye shut much possible,3,"[318, 8430, 49804, 8541, 6725, 8071, 9495, 1790, 3284]"
feel like perfect w see youtube influence even know trend,1,"[57676, 1093, 4832, 289, 1518, 28277, 10383, 1524, 1440, 9327]"
specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,4,"[52340, 750, 4934, 259, 5281, 8430, 33394, 52016, 5115, 14329, 2653, 636, 3117, 3403, 3201, 636, 1695, 10532, 28509]"
also feel weird sleeping bed two slept,4,"[19171, 2733, 16682, 21811, 4950, 1403, 46498]"
wish okay thinking earlier today thing cooped amp restless made feel needy,0,"[82199, 17339, 7422, 6931, 3432, 3245, 1080, 16771, 23598, 89358, 1903, 2733, 83563]"
ive lost weight could fit tiny skirt ive unable wear didnt feel confident,1,"[535, 5675, 4785, 1436, 5052, 13987, 38380, 99677, 12153, 10051, 48707, 2733, 16913]"
hope feel bit creative soon miss presence life blog,1,"[61893, 2733, 2766, 11782, 5246, 3194, 9546, 2324, 5117]"
fan current president conservative made feel unwelcome,0,"[31278, 1510, 4872, 15692, 1903, 2733, 15375, 5836]"
enclose verse could weigh much thinking feeling curious hear odd couple,5,"[967, 1497, 33487, 1436, 17988, 1790, 7422, 8430, 22999, 6865, 10535, 5743]"
begin feel complacent life,1,"[7413, 2733, 4684, 18680, 2324]"
feel vulnerable alone,4,"[57676, 20134, 7636]"
remember feeling inspired thinking fine example parenting,1,"[30380, 8430, 14948, 7422, 7060, 3187, 49058]"
feel like always one getting punished stupid thing feel like chastised behaving,0,"[57676, 1093, 2744, 832, 3794, 41998, 18754, 3245, 2733, 1093, 75207, 4147, 87657]"
really feel life perfect right isnt much ask hope everything would stay,1,"[54760, 2733, 2324, 4832, 1314, 70058, 1790, 2610, 3987, 4395, 1053, 4822]"
im simply feel contented,1,"[318, 5042, 2733, 2262, 291]"
im saying cut everyone life feel important find comfort solitude meditation working project alone,1,"[318, 5605, 4018, 5127, 2324, 2733, 3062, 1505, 6981, 99544, 33862, 3318, 2447, 7636]"
think im stupid feeling nervous,4,"[27963, 737, 18754, 8430, 23418]"
feel honored,1,"[57676, 39377]"
feeling act god work life amazing feeling,5,"[1897, 20659, 1180, 10087, 990, 2324, 8056, 8430]"
feel im like bird flying air carefree manner,1,"[57676, 737, 1093, 12224, 16706, 3805, 2512, 10816, 11827]"
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,3,"[7430, 1082, 10052, 4059, 1304, 2771, 10052, 5222, 8475, 3403, 1732, 5371, 10052, 2733, 54221]"
felt sad friend mine died felt something irrevocably gone away,0,"[66922, 12703, 4333, 10705, 8636, 6612, 2555, 6348, 7430, 511, 2915, 8208, 3201]"
died would alex matt feel regretful coming visit,0,"[67, 1142, 1053, 57578, 27537, 2733, 23023, 1285, 5108, 4034]"
feel educating family supporting educationg mama papa key,1,"[57676, 67805, 3070, 12899, 6873, 70, 57264, 281, 18826, 1401]"
im sure lost feel like everyone hostile toward hate feeling,3,"[318, 2771, 5675, 2733, 1093, 5127, 33615, 9017, 12491, 8430]"
feel like boring sewing make since easy nothing else say fabric usage,0,"[57676, 1093, 28859, 52319, 1304, 2533, 4228, 4400, 775, 2019, 13354, 10648]"
always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,1,"[33222, 15262, 1005, 4113, 56227, 7878, 268, 34504, 41466, 55244, 27580, 2733, 98477, 7162, 77014, 41389, 398]"
feel like talented young man feel talented work,1,"[57676, 1093, 23944, 3995, 893, 2733, 23944, 990]"
